FBID,gene_name,gene_type,position,sex_fixed_effect_pvalue,sex_fdr,sex_by_line_pvalue,sex_by_line_fdr,sex_by_line_variance_component,between_line_variance_component,between_line_pvalue,between_line_fdr,within_line_variance_component
FBgn0036195,CG6053,protein_coding,3L:11690226..11692363,4.47E-31,7.59E-31,6.12E-01,8.00E-01,0.0000,0.0000,3.72E-01,4.55E-01,0.8217
FBgn0036196,CG11658,protein_coding,3L:11692596..11701653,1.98E-205,1.12E-204,1.78E-01,4.34E-01,0.0074,0.0098,1.84E-03,6.02E-03,0.1173
FBgn0036198,crim,protein_coding,3L:11703607..11704486,7.51E-28,1.24E-27,4.53E-01,6.95E-01,0.0075,0.0917,2.28E-04,9.44E-04,0.7364
FBgn0036199,Bmcp,protein_coding,3L:11714004..11721218,1.25E-176,5.57E-176,1.83E-01,4.40E-01,0.0079,0.0274,1.77E-07,1.26E-06,0.1466
FBgn0036202,CG6024,protein_coding,3L:11726689..11759282,1.07E-189,5.29E-189,3.95E-01,6.50E-01,0.0029,0.0103,1.64E-02,3.89E-02,0.1543
FBgn0036203,Muc68D,protein_coding,3L:11760399..11765257,5.14E-37,9.16E-37,4.20E-01,6.70E-01,0.0078,0.3018,6.77E-28,2.38E-26,0.5090
FBgn0036204,Tim13,protein_coding,3L:11767160..11767601,2.43E-75,5.61E-75,2.80E-01,5.52E-01,0.0211,0.0123,1.35E-01,2.10E-01,0.5273
FBgn0036205,CG14131,protein_coding,3L:11770173..11773585,9.49E-13,1.33E-12,3.25E-01,5.93E-01,0.0262,0.1025,1.06E-04,4.71E-04,0.8049
FBgn0036206,CG5964,protein_coding,3L:11783312..11786383,5.43E-69,1.20E-68,2.12E-01,4.77E-01,0.0029,0.0000,8.61E-01,8.79E-01,0.6021
FBgn0036207,CG10907,protein_coding,3L:11786614..11788518,1.92E-14,2.75E-14,1.06E-01,3.22E-01,0.0708,0.0200,6.46E-02,1.18E-01,0.8245
FBgn0036208,CG10361,protein_coding,3L:11792048..11793961,2.67E-25,4.31E-25,1.58E-01,4.06E-01,0.0466,0.1560,5.54E-10,5.24E-09,0.6516
FBgn0036210,CG14130,protein_coding,3L:11808579..11809810,3.83E-22,6.00E-22,7.69E-01,8.86E-01,0.0000,0.0432,5.30E-02,1.01E-01,0.8329
FBgn0036211,CG5946,protein_coding,3L:11810083..11815375,1.38E-61,2.91E-61,1.41E-01,3.79E-01,0.0258,0.2494,1.48E-31,6.33E-30,0.3729
FBgn0036212,CG11597,protein_coding,3L:11813438..11815375,8.94E-18,1.33E-17,4.12E-02,1.80E-01,0.0638,0.0000,4.45E-01,5.21E-01,0.8322
FBgn0036213,RpL10Ab,protein_coding,3L:11815951..11817311,6.68E-82,1.60E-81,7.85E-01,8.95E-01,0.0000,0.0015,4.70E-01,5.43E-01,0.5464
FBgn0036214,CG7264,protein_coding,3L:11822130..11823944,0.00E+00,0.00E+00,3.21E-02,1.53E-01,0.0020,0.0001,8.78E-02,1.50E-01,0.0163
FBgn0036217,CG5906,protein_coding,3L:11863557..11864405,0.00E+00,0.00E+00,3.45E-01,6.09E-01,0.0005,0.0010,1.08E-01,1.77E-01,0.0310
FBgn0036218,CG14128,protein_coding,3L:11872215..11874282,0.00E+00,0.00E+00,9.67E-20,2.14E-17,0.0135,0.0000,9.85E-07,6.26E-06,0.0137
FBgn0036219,CG14127,protein_coding,3L:11872212..11876646,1.24E-23,1.97E-23,3.88E-01,6.44E-01,0.0177,0.0254,1.19E-01,1.90E-01,0.8181
FBgn0036220,CG5897,protein_coding,3L:11880359..11882081,9.24E-03,1.05E-02,1.01E-01,3.15E-01,0.0792,0.0287,3.81E-02,7.74E-02,0.8843
FBgn0036221,CG11588,protein_coding,3L:11914613..11915699,4.96E-231,3.54E-230,1.28E-03,1.43E-02,0.0159,0.0054,1.18E-04,5.18E-04,0.0698
FBgn0036222,CG5718,protein_coding,3L:11915710..11917857,7.92E-277,9.20E-276,4.73E-02,1.96E-01,0.0056,0.0027,4.49E-03,1.30E-02,0.0476
FBgn0036223,CG14126,protein_coding,3L:11925042..11931972,3.66E-104,1.00E-103,9.60E-02,3.05E-01,0.0000,0.0000,6.79E-01,7.24E-01,0.4291
FBgn0036224,Rpt4R,protein_coding,3L:11935123..11936585,1.69E-294,2.48E-293,6.80E-06,1.78E-04,0.0098,0.0000,5.44E-02,1.03E-01,0.0322
FBgn0036225,CG5883,protein_coding,3L:11936740..11937952,2.90E-18,4.34E-18,7.02E-01,8.52E-01,0.0000,0.0105,3.50E-01,4.34E-01,0.8894
FBgn0036226,CG7252,protein_coding,3L:11940775..11942348,2.14E-03,2.48E-03,3.66E-02,1.67E-01,0.0484,0.0000,8.62E-01,8.79E-01,0.9396
FBgn0036227,CG17826,protein_coding,3L:11942939..11945325,9.73E-16,1.42E-15,9.07E-01,9.57E-01,0.0000,0.0088,3.84E-01,4.65E-01,0.9079
FBgn0036228,obst-G,protein_coding,3L:11945401..11946417,5.38E-19,8.14E-19,9.44E-01,9.74E-01,0.0000,0.0322,1.27E-01,1.99E-01,0.8662
FBgn0036229,CG7248,protein_coding,3L:11947183..11949880,6.85E-09,9.08E-09,2.07E-01,4.72E-01,0.0429,0.0075,2.09E-01,2.93E-01,0.9033
FBgn0036230,CG11570,protein_coding,3L:11949808..11950865,6.15E-01,6.31E-01,5.22E-01,7.44E-01,0.0000,0.0000,7.77E-01,8.08E-01,1.0010
FBgn0036232,CG14125,protein_coding,3L:11968005..11968910,3.72E-44,7.02E-44,8.43E-01,9.26E-01,0.0000,0.2970,1.79E-28,6.55E-27,0.4926
FBgn0036235,CG6938,protein_coding,3L:11977894..11983658,9.92E-02,1.08E-01,6.40E-01,8.16E-01,0.0000,0.0000,1.80E-01,2.61E-01,0.9977
FBgn0036236,CG6931,protein_coding,3L:11983836..11985100,2.21E-263,2.23E-262,6.88E-02,2.50E-01,0.0059,0.0034,5.32E-03,1.50E-02,0.0571
FBgn0036237,viaf,protein_coding,3L:11984953..11986279,7.59E-169,3.19E-168,8.10E-01,9.09E-01,0.0000,0.0071,1.55E-01,2.34E-01,0.2175
FBgn0036239,Pop2,protein_coding,3L:11991498..11996015,2.68E-15,3.88E-15,4.69E-03,3.89E-02,0.1448,0.0130,1.38E-02,3.38E-02,0.7463
FBgn0036240,CG6928,protein_coding,3L:11996255..12001151,3.10E-170,1.32E-169,5.61E-02,2.19E-01,0.0153,0.0305,7.35E-09,6.10E-08,0.1450
FBgn0036242,CG6793,protein_coding,3L:12035487..12037317,2.51E-33,4.35E-33,2.72E-02,1.37E-01,0.0970,0.0000,7.29E-02,1.29E-01,0.6927
FBgn0036246,CG17154,protein_coding,3L:12081726..12082325,2.10E-270,2.26E-269,3.14E-02,1.51E-01,0.0071,0.0000,1.38E-01,2.13E-01,0.0552
FBgn0036248,ssp,protein_coding,3L:12111357..12112889,2.79E-117,8.26E-117,3.45E-02,1.61E-01,0.0367,0.0274,1.95E-04,8.19E-04,0.2857
FBgn0036249,CG11560,protein_coding,3L:12113119..12114285,2.11E-146,7.55E-146,1.87E-01,4.45E-01,0.0175,0.0000,2.08E-01,2.92E-01,0.2558
FBgn0036250,Ir68b,protein_coding,3L:12118587..12120494,3.99E-02,4.41E-02,1.59E-01,4.07E-01,0.0595,0.0251,7.39E-02,1.31E-01,0.9110
FBgn0036254,CG5645,protein_coding,3L:12126871..12129806,7.87E-139,2.67E-138,8.36E-03,5.97E-02,0.0381,0.0000,1.54E-01,2.32E-01,0.2449
FBgn0036255,Atg12,protein_coding,3L:12130067..12130659,1.62E-40,2.97E-40,3.47E-01,6.11E-01,0.0148,0.0608,2.95E-03,9.10E-03,0.6769
FBgn0036257,RhoGAP68F,protein_coding,3L:12131968..12136480,4.10E-68,9.03E-68,4.99E-01,7.27E-01,0.0000,0.0935,6.82E-07,4.46E-06,0.4990
FBgn0036258,CG5642,protein_coding,3L:12136546..12139197,6.31E-143,2.20E-142,4.84E-02,1.99E-01,0.0244,0.0211,2.97E-04,1.20E-03,0.2195
FBgn0036259,CG9760,protein_coding,3L:12150152..12156835,1.88E-54,3.79E-54,5.32E-01,7.49E-01,0.0000,0.0856,3.18E-05,1.58E-04,0.5873
FBgn0036260,Rh7,protein_coding,3L:12157025..12169586,3.98E-33,6.89E-33,8.39E-01,9.24E-01,0.0000,0.0295,1.23E-01,1.95E-01,0.7816
FBgn0036262,CG6910,protein_coding,3L:12178084..12180960,2.48E-46,4.73E-46,5.26E-01,7.46E-01,0.0000,0.4474,3.94E-58,5.00E-56,0.3712
FBgn0036263,thoc6,protein_coding,3L:12185132..12186788,1.52E-266,1.57E-265,7.23E-02,2.57E-01,0.0061,0.0000,1.81E-01,2.62E-01,0.0604
FBgn0036264,CG11529,protein_coding,3L:12190891..12192130,5.84E-40,1.06E-39,2.22E-01,4.91E-01,0.0236,0.1235,4.75E-08,3.59E-07,0.6090
FBgn0036266,CG5626,protein_coding,3L:12193533..12199122,2.27E-48,4.40E-48,2.37E-03,2.31E-02,0.1098,0.0000,1.10E-01,1.78E-01,0.5798
FBgn0036271,Pbgs,protein_coding,3L:12262552..12264445,8.27E-12,1.14E-11,1.48E-01,3.89E-01,0.0563,0.0473,1.10E-02,2.79E-02,0.8304
FBgn0036272,CG4300,protein_coding,3L:12264756..12270351,1.15E-150,4.25E-150,1.79E-01,4.34E-01,0.0124,0.0243,1.80E-04,7.61E-04,0.2117
FBgn0036273,CG10426,protein_coding,3L:12270755..12274576,1.86E-72,4.21E-72,3.54E-01,6.16E-01,0.0103,0.0425,5.15E-03,1.46E-02,0.5191
FBgn0036274,CG4328,protein_coding,3L:12284042..12289223,1.44E-17,2.15E-17,1.99E-01,4.61E-01,0.0418,0.0000,2.96E-01,3.83E-01,0.8575
FBgn0036277,CG10418,protein_coding,3L:12329776..12330336,1.76E-87,4.37E-87,1.94E-01,4.53E-01,0.0270,0.0188,3.26E-02,6.84E-02,0.4464
FBgn0036278,GRHRII,protein_coding,3L:12332216..12344696,4.49E-199,2.40E-198,1.87E-01,4.45E-01,0.0066,0.0191,1.69E-06,1.03E-05,0.1153
FBgn0036279,Ncc69,protein_coding,3L:12361746..12384544,8.46E-68,1.86E-67,3.04E-05,6.35E-04,0.1119,0.0883,3.88E-12,4.50E-11,0.3509
FBgn0036282,Smyd4,protein_coding,3L:12392639..12395035,4.82E-21,7.46E-21,7.49E-01,8.76E-01,0.0000,0.0088,3.76E-01,4.58E-01,0.8747
FBgn0036285,toe,protein_coding,3L:12415562..12425888,6.06E-159,2.37E-158,2.51E-01,5.23E-01,0.0140,0.0000,1.66E-01,2.45E-01,0.2244
FBgn0036286,CG10616,protein_coding,3L:12464824..12467379,1.66E-180,7.63E-180,3.98E-05,7.98E-04,0.0379,0.0053,2.71E-04,1.10E-03,0.1191
FBgn0036287,CG10663,protein_coding,3L:12468107..12478054,2.19E-19,3.33E-19,5.53E-01,7.64E-01,0.0000,0.0412,6.76E-02,1.22E-01,0.8489
FBgn0036288,CG10660,protein_coding,3L:12479766..12483776,4.76E-148,1.73E-147,6.25E-02,2.34E-01,0.0204,0.0321,7.75E-07,5.03E-06,0.1959
FBgn0036289,CG10657,protein_coding,3L:12484930..12490316,1.42E-179,6.46E-179,1.56E-11,1.27E-09,0.0535,0.0000,1.95E-02,4.50E-02,0.1021
FBgn0036290,CG10638,protein_coding,3L:12491504..12494411,6.79E-10,9.13E-10,7.28E-02,2.58E-01,0.0847,0.0330,1.94E-02,4.48E-02,0.8274
FBgn0036291,CG10681,protein_coding,3L:12494613..12495747,4.45E-06,5.57E-06,6.37E-01,8.15E-01,0.0000,0.0832,3.43E-03,1.04E-02,0.8920
FBgn0036292,CG10646,protein_coding,3L:12495567..12496994,1.11E-10,1.51E-10,7.58E-02,2.64E-01,0.0650,0.2411,1.38E-16,2.29E-15,0.6467
FBgn0036294,CG10654,protein_coding,3L:12498474..12500940,1.94E-32,3.35E-32,6.50E-09,3.44E-07,0.2671,0.0000,4.30E-05,2.07E-04,0.4976
FBgn0036298,nst,protein_coding,3L:12520315..12523271,3.41E-208,1.98E-207,3.41E-01,6.06E-01,0.0084,0.0000,6.85E-02,1.23E-01,0.1276
FBgn0036299,Tsf2,protein_coding,3L:12523536..12526824,1.30E-196,6.78E-196,3.37E-01,6.04E-01,0.0000,0.0000,4.17E-01,4.96E-01,0.1607
FBgn0036300,CG10688,protein_coding,3L:12527690..12528613,7.28E-30,1.22E-29,4.73E-01,7.08E-01,0.0003,0.0763,1.75E-03,5.76E-03,0.7459
FBgn0036301,CG4069,protein_coding,3L:12528526..12530415,9.73E-296,1.46E-294,5.38E-02,2.13E-01,0.0047,0.0000,1.39E-01,2.14E-01,0.0415
FBgn0036302,sowah,protein_coding,3L:12530613..12565642,2.93E-53,5.87E-53,6.65E-01,8.31E-01,0.0000,0.0128,2.67E-01,3.54E-01,0.6803
FBgn0036305,CG10984,protein_coding,3L:12743219..12746502,2.30E-01,2.44E-01,1.74E-02,1.02E-01,0.1282,0.0551,1.03E-03,3.63E-03,0.8163
FBgn0036306,CG10973,protein_coding,3L:12746339..12747874,4.98E-94,1.28E-93,8.25E-01,9.17E-01,0.0000,0.0000,9.72E-01,9.74E-01,0.5061
FBgn0036309,Hip1,protein_coding,3L:12761532..12766673,2.00E-27,3.30E-27,8.11E-02,2.76E-01,0.0714,0.0305,1.86E-02,4.32E-02,0.7269
FBgn0036310,CG10969,protein_coding,3L:12771850..12774121,0.00E+00,0.00E+00,2.12E-03,2.12E-02,0.0032,0.0000,5.09E-02,9.78E-02,0.0154
FBgn0036311,CG17666,protein_coding,3L:12774425..12777477,0.00E+00,0.00E+00,3.00E-04,4.38E-03,0.0023,0.0000,5.94E-01,6.51E-01,0.0133
FBgn0036314,CG10754,protein_coding,3L:12806128..12807119,4.61E-85,1.13E-84,1.61E-01,4.09E-01,0.0314,0.0180,3.45E-02,7.15E-02,0.4542
FBgn0036316,CG10960,protein_coding,3L:12817980..12836206,1.45E-75,3.36E-75,2.31E-01,5.01E-01,0.0175,0.1603,1.91E-19,3.95E-18,0.3708
FBgn0036317,CG10948,protein_coding,3L:12837354..12843217,4.41E-02,4.87E-02,3.04E-02,1.48E-01,0.0737,0.0000,6.42E-01,6.92E-01,0.9219
FBgn0036318,Wbp2,protein_coding,3L:12843260..12846269,1.38E-133,4.52E-133,2.04E-02,1.14E-01,0.0311,0.0264,4.36E-05,2.10E-04,0.2337
FBgn0036319,Ent3,protein_coding,3L:12846746..12850004,1.32E-141,4.57E-141,3.56E-01,6.18E-01,0.0055,0.0209,3.91E-03,1.15E-02,0.2569
FBgn0036320,CG10943,protein_coding,3L:12854817..12855931,7.42E-01,7.55E-01,9.38E-01,9.71E-01,0.0000,0.3092,4.26E-20,9.27E-19,0.6923
FBgn0036321,CG14120,protein_coding,3L:12878152..12882344,1.51E-08,1.98E-08,9.31E-01,9.68E-01,0.0000,0.3254,4.14E-23,1.08E-21,0.6473
FBgn0036323,CG14118,protein_coding,3L:12885713..12887884,3.42E-09,4.56E-09,4.04E-01,6.57E-01,0.0155,0.0220,1.76E-01,2.56E-01,0.9153
FBgn0036324,CG12520,protein_coding,3L:12894475..12895674,1.84E-09,2.46E-09,1.89E-01,4.47E-01,0.0613,0.0828,1.03E-04,4.59E-04,0.8088
FBgn0036325,CG10752,protein_coding,3L:12945786..12947747,9.07E-263,9.11E-262,4.29E-03,3.64E-02,0.0106,0.0005,2.28E-02,5.13E-02,0.0539
FBgn0036327,CG10748,protein_coding,3L:12964314..12965459,1.36E-105,3.76E-105,2.58E-01,5.30E-01,0.0000,0.0000,4.58E-01,5.33E-01,0.4246
FBgn0036328,CG10749,protein_coding,3L:12965574..12966750,0.00E+00,0.00E+00,3.84E-01,6.40E-01,0.0004,0.0018,4.35E-03,1.27E-02,0.0210
FBgn0036329,CG11262,protein_coding,3L:12988235..12990518,0.00E+00,0.00E+00,1.84E-07,7.26E-06,0.0066,0.0000,9.50E-04,3.39E-03,0.0151
FBgn0036330,CG11263,protein_coding,3L:12999917..13000981,4.51E-46,8.61E-46,2.38E-22,7.09E-20,0.3408,0.0021,2.27E-08,1.78E-07,0.2989
FBgn0036331,CG14117,protein_coding,3L:12999907..13002550,5.22E-150,1.92E-149,7.42E-01,8.72E-01,0.0000,0.0465,2.32E-08,1.81E-07,0.2125
FBgn0036332,CG11261,protein_coding,3L:13002499..13004785,1.04E-118,3.10E-118,7.01E-03,5.24E-02,0.0499,0.0192,4.80E-04,1.84E-03,0.2703
FBgn0036333,MICAL-like,protein_coding,3L:13005076..13008432,1.06E-212,6.40E-212,2.12E-03,2.13E-02,0.0202,0.0000,5.43E-02,1.03E-01,0.0985
FBgn0036334,CG11267,protein_coding,3L:13009150..13010003,5.83E-204,3.25E-203,4.62E-02,1.93E-01,0.0127,0.0109,1.63E-04,6.99E-04,0.1078
FBgn0036335,mRpL20,protein_coding,3L:13010249..13010967,4.46E-55,9.06E-55,3.34E-01,6.01E-01,0.0144,0.0600,1.10E-03,3.83E-03,0.5894
FBgn0036336,ste14,protein_coding,3L:13011366..13012787,3.12E-134,1.03E-133,4.62E-01,7.00E-01,0.0151,0.0000,7.46E-02,1.32E-01,0.3005
FBgn0036337,CG11255,protein_coding,3L:13013082..13015788,1.33E-70,2.98E-70,1.22E-05,2.93E-04,0.1193,0.0702,2.10E-10,2.07E-09,0.3419
FBgn0036338,CG11253,protein_coding,3L:13017863..13019691,2.73E-224,1.83E-223,7.75E-04,9.55E-03,0.0189,0.0000,4.87E-02,9.43E-02,0.0835
FBgn0036340,SRm160,protein_coding,3L:13029921..13034076,9.36E-292,1.32E-290,1.96E-01,4.56E-01,0.0027,0.0014,6.71E-02,1.21E-01,0.0453
FBgn0036341,Syx13,protein_coding,3L:13037534..13039994,8.76E-170,3.71E-169,1.00E-01,3.12E-01,0.0174,0.0000,1.78E-01,2.59E-01,0.1906
FBgn0036342,CG11279,protein_coding,3L:13040077..13041066,1.98E-59,4.13E-59,9.92E-01,9.97E-01,0.0000,0.0000,4.38E-01,5.15E-01,0.6759
FBgn0036343,CG14115,protein_coding,3L:13053622..13054494,1.69E-04,2.03E-04,6.93E-01,8.47E-01,0.0000,0.0086,3.88E-01,4.69E-01,0.9738
FBgn0036345,CG17300,protein_coding,3L:13079487..13080389,5.62E-163,2.26E-162,2.69E-03,2.56E-02,0.0290,0.0000,2.73E-01,3.59E-01,0.1862
FBgn0036346,CG11251,protein_coding,3L:13081681..13083069,5.24E-230,3.71E-229,1.13E-01,3.33E-01,0.0075,0.0023,6.58E-02,1.19E-01,0.0924
FBgn0036348,CG17687,protein_coding,3L:13342079..13348317,9.61E-199,5.12E-198,9.33E-03,6.49E-02,0.0221,0.0000,2.86E-02,6.16E-02,0.1188
FBgn0036349,SNCF,protein_coding,3L:13371683..13372290,7.83E-06,9.74E-06,8.57E-01,9.34E-01,0.0000,0.0172,2.67E-01,3.53E-01,0.9573
FBgn0036350,CG14111,protein_coding,3L:13371087..13373480,5.13E-102,1.38E-101,2.14E-02,1.17E-01,0.0506,0.0000,1.19E-01,1.90E-01,0.3691
FBgn0036351,CG14107,protein_coding,3L:13373459..13374446,1.75E-01,1.87E-01,3.47E-02,1.61E-01,0.0648,0.0000,6.09E-01,6.65E-01,0.9342
FBgn0036352,CG14110,protein_coding,3L:13377889..13379025,4.92E-01,5.10E-01,3.40E-01,6.05E-01,0.0259,0.0118,2.58E-01,3.44E-01,0.9631
FBgn0036353,CG10171,protein_coding,3L:13379046..13381007,6.35E-166,2.61E-165,5.80E-02,2.23E-01,0.0209,0.0050,3.56E-02,7.35E-02,0.1858
FBgn0036354,Poc1,protein_coding,3L:13381385..13383119,6.98E-01,7.11E-01,2.71E-01,5.42E-01,0.0367,0.0771,2.44E-03,7.70E-03,0.8877
FBgn0036356,CG10222,protein_coding,3L:13404480..13405553,1.39E-161,5.53E-161,4.06E-02,1.79E-01,0.0127,0.0000,7.56E-01,7.90E-01,0.2194
FBgn0036359,CG14105,protein_coding,3L:13418991..13419773,1.21E-01,1.31E-01,1.15E-01,3.37E-01,0.0692,0.0291,4.65E-02,9.10E-02,0.9000
FBgn0036360,CG10713,protein_coding,3L:13421939..13428329,2.09E-89,5.24E-89,4.14E-01,6.65E-01,0.0000,0.0000,4.89E-01,5.61E-01,0.5016
FBgn0036361,CG10154,protein_coding,3L:13428780..13430292,5.73E-01,5.89E-01,2.27E-02,1.21E-01,0.1006,0.0000,2.01E-01,2.85E-01,0.9007
FBgn0036362,CG10725,protein_coding,3L:13431054..13432109,6.05E-01,6.21E-01,1.34E-05,3.15E-04,0.0834,0.6782,5.26E-103,3.41E-100,0.2403
FBgn0036363,CG10140,protein_coding,3L:13432410..13433546,8.52E-04,1.00E-03,8.46E-01,9.27E-01,0.0000,0.0000,8.00E-01,8.27E-01,0.9864
FBgn0036364,CG14109,protein_coding,3L:13434010..13435520,2.68E-119,8.03E-119,6.56E-02,2.42E-01,0.0265,0.0667,9.13E-12,1.03E-10,0.2444
FBgn0036365,CG10732,protein_coding,3L:13435694..13442383,3.24E-215,2.00E-214,8.56E-04,1.03E-02,0.0164,0.0217,8.79E-15,1.28E-13,0.0674
FBgn0036366,CG10133,protein_coding,3L:13442287..13443383,3.26E-99,8.63E-99,4.94E-02,2.01E-01,0.0485,0.0000,8.82E-02,1.51E-01,0.3856
FBgn0036367,CG10116,protein_coding,3L:13449308..13450338,4.20E-47,8.06E-47,4.98E-01,7.26E-01,0.0016,0.1018,5.48E-06,3.09E-05,0.6120
FBgn0036368,CG10738,protein_coding,3L:13443851..13458998,5.89E-47,1.13E-46,3.03E-04,4.41E-03,0.1392,0.0295,2.68E-04,1.09E-03,0.5144
FBgn0036369,CG10089,protein_coding,3L:13458909..13467643,3.64E-253,3.26E-252,2.47E-02,1.28E-01,0.0092,0.0010,3.97E-02,8.00E-02,0.0650
FBgn0036372,CG10083,protein_coding,3L:13476633..13479380,0.00E+00,0.00E+00,1.02E-01,3.16E-01,0.0020,0.0000,4.26E-01,5.04E-01,0.0326
FBgn0036373,CG10741,protein_coding,3L:13479897..13495592,2.62E-133,8.57E-133,4.21E-01,6.70E-01,0.0000,0.0000,3.43E-01,4.28E-01,0.3227
FBgn0036374,Spt20,protein_coding,3L:13495807..13504386,5.81E-283,7.30E-282,8.29E-01,9.19E-01,0.0000,0.0006,3.83E-01,4.65E-01,0.0602
FBgn0036376,Liprin-beta,protein_coding,3L:13506354..13509376,4.68E-139,1.59E-138,4.95E-01,7.24E-01,0.0011,0.0094,1.52E-01,2.30E-01,0.2913
FBgn0036377,CG10710,protein_coding,3L:13509373..13512705,6.82E-184,3.22E-183,2.63E-01,5.35E-01,0.0056,0.0162,4.47E-04,1.72E-03,0.1509
FBgn0036380,CG8757,protein_coding,3L:13833297..13835340,9.02E-26,1.46E-25,5.91E-01,7.88E-01,0.0000,0.0000,5.54E-01,6.17E-01,0.8547
FBgn0036381,CG8745,protein_coding,3L:13853127..13860005,4.09E-90,1.03E-89,1.48E-01,3.90E-01,0.0146,0.2926,5.00E-62,7.38E-60,0.2206
FBgn0036382,CG13737,protein_coding,3L:13872094..13876156,5.33E-65,1.15E-64,2.83E-01,5.54E-01,0.0107,0.0839,3.69E-06,2.15E-05,0.5098
FBgn0036386,CG8833,protein_coding,3L:13918982..13922100,5.15E-105,1.41E-104,3.84E-02,1.72E-01,0.0370,0.0385,2.88E-05,1.44E-04,0.3225
FBgn0036390,CG13738,protein_coding,3L:13966223..13966577,6.00E-06,7.49E-06,6.53E-01,8.23E-01,0.0000,0.0000,9.34E-01,9.41E-01,0.9739
FBgn0036391,CG17364,protein_coding,3L:13970767..13986500,2.09E-50,4.11E-50,4.56E-01,6.96E-01,0.0000,0.0417,2.87E-02,6.17E-02,0.6586
FBgn0036393,CG17362,protein_coding,3L:13979720..13980284,1.27E-09,1.70E-09,7.56E-01,8.80E-01,0.0000,0.0000,1.07E-01,1.75E-01,0.9532
FBgn0036394,CG9040,protein_coding,3L:13980978..13981726,4.15E-25,6.68E-25,9.65E-01,9.84E-01,0.0000,0.0224,1.79E-01,2.60E-01,0.8415
FBgn0036395,CG17361,protein_coding,3L:13990291..13991155,1.10E-180,5.07E-180,5.99E-01,7.92E-01,0.0000,0.0078,9.08E-02,1.54E-01,0.1832
FBgn0036396,CG17359,protein_coding,3L:13991000..13992351,1.62E-220,1.06E-219,3.51E-01,6.14E-01,0.0028,0.0035,1.11E-01,1.79E-01,0.1123
FBgn0036397,CG8783,protein_coding,3L:13992480..13994980,2.32E-176,1.03E-175,1.21E-01,3.48E-01,0.0096,0.0000,5.58E-01,6.20E-01,0.1885
FBgn0036398,CG9007,protein_coding,3L:13995227..14013248,1.12E-151,4.15E-151,6.79E-01,8.38E-01,0.0000,0.0000,7.17E-01,7.56E-01,0.2762
FBgn0036402,CG6650,protein_coding,3L:14023322..14027740,1.11E-06,1.41E-06,1.37E-01,3.72E-01,0.0567,0.1249,2.61E-06,1.55E-05,0.7892
FBgn0036405,CG6833,protein_coding,3L:14044306..14045569,1.42E-166,5.86E-166,6.65E-03,5.04E-02,0.0293,0.0119,2.94E-04,1.19E-03,0.1576
FBgn0036406,CG13484,protein_coding,3L:14045528..14046179,3.50E-79,8.26E-79,9.60E-01,9.81E-01,0.0000,0.0000,6.06E-01,6.62E-01,0.5719
FBgn0036410,CG8100,protein_coding,3L:14076715..14079064,1.46E-06,1.85E-06,3.84E-06,1.09E-04,0.2548,0.0274,1.38E-04,5.97E-04,0.6799
FBgn0036411,Sox21a,protein_coding,3L:14096581..14101218,1.06E-03,1.24E-03,1.58E-01,4.06E-01,0.0611,0.0213,7.09E-02,1.26E-01,0.9039
FBgn0036414,nan,protein_coding,3L:14179349..14182778,1.54E-06,1.95E-06,1.44E-01,3.83E-01,0.0622,0.0220,7.10E-02,1.27E-01,0.8840
FBgn0036415,CG7768,protein_coding,3L:14211251..14212088,0.00E+00,0.00E+00,7.13E-25,3.01E-22,0.0120,0.0000,5.65E-08,4.23E-07,0.0097
FBgn0036416,CG7924,protein_coding,3L:14226569..14227709,6.69E-02,7.32E-02,7.37E-01,8.69E-01,0.0000,0.0216,2.37E-01,3.22E-01,0.9759
FBgn0036417,CG7906,protein_coding,3L:14229735..14231372,1.18E-47,2.27E-47,7.01E-01,8.51E-01,0.0000,0.0000,6.36E-01,6.88E-01,0.7298
FBgn0036419,CG13482,protein_coding,3L:14322446..14322985,5.16E-01,5.33E-01,9.99E-01,1.00E+00,0.0000,0.3124,1.98E-20,4.39E-19,0.6904
FBgn0036421,CG13481,protein_coding,3L:14362025..14362807,1.02E-141,3.54E-141,4.75E-01,7.10E-01,0.0005,0.0138,6.10E-02,1.12E-01,0.2760
FBgn0036422,CG3868,protein_coding,3L:14393869..14395856,1.59E-05,1.97E-05,9.55E-01,9.79E-01,0.0000,0.3433,7.72E-25,2.24E-23,0.6418
FBgn0036423,CG3919,protein_coding,3L:14403726..14405832,2.59E-30,4.37E-30,1.53E-03,1.65E-02,0.1346,0.0395,4.27E-04,1.66E-03,0.6223
FBgn0036426,CG9592,protein_coding,3L:14510925..14511575,1.50E-67,3.29E-67,3.61E-02,1.66E-01,0.0482,0.0000,4.64E-01,5.38E-01,0.5475
FBgn0036427,CG4613,protein_coding,3L:14512860..14514790,6.36E-30,1.07E-29,9.48E-02,3.03E-01,0.0576,0.0000,3.33E-01,4.18E-01,0.7607
FBgn0036428,CG9238,protein_coding,3L:14534037..14544075,5.87E-05,7.13E-05,1.27E-04,2.15E-03,0.1719,0.2193,3.01E-17,5.23E-16,0.5893
FBgn0036433,CG9628,protein_coding,3L:14615896..14621274,9.36E-101,2.50E-100,1.16E-03,1.32E-02,0.0598,0.0787,6.00E-14,8.24E-13,0.2587
